priority_rank,name,county,town,lat,lon,risk_score,risk_level,rain_24h_mm_demo,elevation_m,slope_deg,aspect_deg,aspect_dir,aspect_score,terrain_score,debris_dist_m,debris_Risk,lswarn_dist_m,lswarn_Risk,lspot_dist_m,lspot_Risk,event_dist_m,event_Events,law_status,law_issue,indigenous_area,data_confidence,suggested_action,alert_message
12,溪頭和興露營區,南投縣,鹿谷鄉,23.6934557,120.772595,71.5,預警撤離,239.48599551909032,982.99,25.76,333.9,西北,0.0,50.2,965.706240152289,擃,0.0,銝,0.0,中,4490.060187685767,0728豪雨,違反相關法規露營場,區域計畫法,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】南投縣鹿谷鄉「溪頭和興露營區」目前評估為「預警撤離」。主因：雨量偏高 239 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
13,歐敏露營區(原酋長茅蘆露營區),南投縣,仁愛鄉,24.023568,121.1903066,71.4,預警撤離,218.301728519266,1126.77,27.01,346.5,北,0.0,52.7,28.741058580994704,擃,367.74962043592046,擃,607.1308466521691,高,3562.5305092574745,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,未提出露營場申請,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】南投縣仁愛鄉「歐敏露營區(原酋長茅蘆露營區)」目前評估為「預警撤離」。主因：雨量偏高 218 mm/24h、距土石流影響範圍 29 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
14,禾森 Ichigo 露營區,苗栗縣,大湖鄉,24.417942,120.899415,70.8,預警撤離,172.99989099761228,348.79,6.66,288.8,西,0.0,13.0,0.0,擃,41.77065719123277,銝,868.8940498319162,中,7518.82156544181,0728豪雨,違反相關法規露營場,不符合土地管制法規,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣大湖鄉「禾森 Ichigo 露營區」目前評估為「預警撤離」。主因：距土石流影響範圍 0 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
15,山樂園露營區（一起鄒咖啡店）,嘉義縣,阿里山鄉,23.472693957739,120.704897426077,70.6,預警撤離,238.66654004606264,1365.06,8.44,231.5,西南,5.0,17.6,400.8900831284488,雿,0.0,擃,0.0,高,1980.916026830481,0728豪雨,違反相關法規露營場,違反區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】嘉義縣阿里山鄉「山樂園露營區（一起鄒咖啡店）」目前評估為「預警撤離」。主因：雨量偏高 239 mm/24h、距土石流影響範圍 401 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
16,豐之優露營區,苗栗縣,泰安鄉,24.444507,120.922811,70.3,預警撤離,189.49113640435337,560.29,18.53,223.1,西南,14.1,39.2,368.0706789857965,雿,0.0,銝,0.0,中,8433.010676236057,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「豐之優露營區」目前評估為「預警撤離」。主因：距土石流影響範圍 368 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
17,思穀汗 Skuhan 休閒露營區,苗栗縣,泰安鄉,24.388264,120.924581,69.4,預警撤離,195.4399922031139,647.78,30.35,306.0,西北,0.0,59.2,500.4371779874911,擃,0.0,擃,0.0,高,4423.254155761162,0728豪雨,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「思穀汗 Skuhan 休閒露營區」目前評估為「預警撤離」。主因：DEM坡度 30°、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
18,來灣哈露營區,嘉義縣,阿里山鄉,23.4627359899408,120.700717371329,69.2,預警撤離,238.4161602700151,1142.46,7.11,157.5,南,40.7,22.8,392.4610406275529,雿,22.74204841736363,擃,223.03612776894371,高,2152.217500637776,0728豪雨,違反相關法規露營場,違反區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】嘉義縣阿里山鄉「來灣哈露營區」目前評估為「預警撤離」。主因：雨量偏高 238 mm/24h、距土石流影響範圍 392 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
19,油車寮露營區,嘉義縣,梅山鄉,23.5342580981975,120.70634575301,68.9,預警撤離,226.38197838871895,1117.57,13.81,158.8,南,67.7,41.8,978.7214243431424,銝,0.0,擃,0.0,高,2122.7791906116663,0728豪雨,違反相關法規露營場,違反區域計畫法,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】嘉義縣梅山鄉「油車寮露營區」目前評估為「預警撤離」。主因：雨量偏高 226 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
20,一陽露營區,南投縣,鹿谷鄉,23.690958,120.7727741,68.7,預警撤離,252.03032229804504,1072.1,22.75,21.7,北,18.1,48.3,1067.5123723102158,銝,0.0,銝,0.0,中,4212.889312944435,0728豪雨,違反相關法規露營場,違反區域計畫法\農業發展條例,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】南投縣鹿谷鄉「一陽露營區」目前評估為「預警撤離」。主因：雨量偏高 252 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
21,和雅六分營地,南投縣,鹿谷鄉,23.69763,120.77694,68.6,預警撤離,233.7590397678688,823.89,9.12,30.6,東北,19.4,22.1,463.3746701460802,擃,89.36750512556004,銝,178.8977502672239,中,4767.438046985468,丹娜絲颱風、薇帕颱風、0721豪雨,違反相關法規露營場,區域計畫法,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】南投縣鹿谷鄉「和雅六分營地」目前評估為「預警撤離」。主因：雨量偏高 234 mm/24h、距土石流影響範圍 463 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
22,觀雲亭農莊(原名)觀雲露營區,新竹縣,五峰鄉,24.608613,121.099005,67.7,預警撤離,211.6167515367168,887.75,20.72,80.6,東,67.2,55.2,597.3886393785014,蝥閫撖,7.408401979427936,擃,7.408401979427936,高,7404.151813251187,1020豪雨,違反相關法規露營場,不符合土地管制法規,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】新竹縣五峰鄉「觀雲亭農莊(原名)觀雲露營區」目前評估為「預警撤離」。主因：雨量偏高 212 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
23,紮營趣,苗栗縣,大湖鄉,24.4092,120.906456,67.5,預警撤離,189.8923087140102,480.77,12.16,274.7,西,0.0,23.7,350.6017539796265,銝,0.0,銝,0.0,中,6488.376525991848,0728豪雨,違反相關法規露營場,區域計畫法,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣大湖鄉「紮營趣」目前評估為「預警撤離」。主因：距土石流影響範圍 351 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
24,晨光露營區,嘉義縣,阿里山鄉,23.46413,120.705268,67.2,預警撤離,209.02123795456328,1032.52,11.94,225.6,西南,11.9,25.9,479.4182293467276,雿,84.4238403085597,擃,232.8852495001009,高,1687.4921501574822,0728豪雨,符合相關法規露營場,違反區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】嘉義縣阿里山鄉「晨光露營區」目前評估為「預警撤離」。主因：雨量偏高 209 mm/24h、距土石流影響範圍 479 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
25,友田坊營地,苗栗縣,泰安鄉,24.443843,120.922167,67.1,預警撤離,193.63237753938904,517.47,9.02,226.7,西南,8.3,19.4,328.3837900391732,雿,0.0,銝,0.0,中,8452.091213672356,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「友田坊營地」目前評估為「預警撤離」。主因：距土石流影響範圍 328 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
26,知本森林遊樂區野營活動場,臺東縣,卑南鄉,22.686871,120.992169,66.8,預警撤離,185.90873343099855,138.4,14.16,118.5,東南,98.8,49.3,576.7792085330659,蝥閫撖,0.0,銝,123.86688937949468,中,5693.207534056104,0728豪雨,符合相關法規露營場,無或未標示,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】臺東縣卑南鄉「知本森林遊樂區野營活動場」目前評估為「預警撤離」。主因：坡向 東南，迎風暴露較高、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
27,哈撒山莊,苗栗縣,泰安鄉,24.425484,120.915727,66.6,預警撤離,213.59299327913268,713.0,26.94,225.7,西南,11.9,55.2,1425.860859540221,擃,0.0,銝,0.0,中,8308.600577017134,0728豪雨,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「哈撒山莊」目前評估為「預警撤離」。主因：雨量偏高 214 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
28,太山農場露營區,嘉義縣,梅山鄉,23.5344498258126,120.707522666503,66.4,預警撤離,224.05869377222228,1132.46,11.49,203.4,西南,29.2,28.8,973.070157560868,銝,0.0,擃,0.0,高,2006.9145629646496,0728豪雨,違反相關法規露營場,違反區域計畫法,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】嘉義縣梅山鄉「太山農場露營區」目前評估為「預警撤離」。主因：雨量偏高 224 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
29,熊班長小團露,苗栗縣,大湖鄉,24.420093,120.904233,66.4,預警撤離,190.74016829595024,501.76,14.53,325.1,西北,0.0,28.3,190.54709929689184,擃,210.48193688861605,銝,929.4365848738986,中,7705.943335761637,0728豪雨,違反相關法規露營場,不符合土地管制法規,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣大湖鄉「熊班長小團露」目前評估為「預警撤離」。主因：距土石流影響範圍 191 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
30,比拉多露營區,新竹縣,五峰鄉,24.643722,121.12272,66.2,預警撤離,195.27282215974824,324.86,17.62,93.3,東,77.8,51.5,125.28355272566805,擃,341.23771771356786,銝,605.2898359759366,中,6452.518458321304,1020豪雨,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】新竹縣五峰鄉「比拉多露營區」目前評估為「預警撤離」。主因：坡向 東，迎風暴露較高、距土石流影響範圍 125 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
31,景柏涵多露營區,苗栗縣,泰安鄉,24.4442,120.90852,66.2,預警撤離,182.57638266180007,448.33,29.7,254.4,西,0.0,57.9,243.45166293138607,擃,387.8122576127016,銝,870.4070516262728,中,7666.801461100172,0728豪雨,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「景柏涵多露營區」目前評估為「預警撤離」。主因：距土石流影響範圍 243 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
32,野行野宿露營簡餐咖啡坊,桃園市,復興區,24.780102,121.358676,66.0,預警撤離,194.87772813797253,481.37,18.77,76.9,東,64.1,50.7,187.60768036885028,蝥閫撖,328.84257690508014,銝,328.84257690508014,中,1911.9875704952824,0728豪雨,違反相關法規露營場,農業發展條例,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】桃園市復興區「野行野宿露營簡餐咖啡坊」目前評估為「預警撤離」。主因：距土石流影響範圍 188 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
33,福人居民宿,苗栗縣,大湖鄉,24.412334,120.906707,65.8,預警撤離,193.8751756323687,476.23,13.16,273.1,西,0.0,25.7,359.20249850137344,銝,51.7906998461339,銝,51.79067607825833,中,6834.017614385844,0728豪雨,違反相關法規露營場,不符合土地管制法規,否,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣大湖鄉「福人居民宿」目前評估為「預警撤離」。主因：距土石流影響範圍 359 m、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
34,左岸涼山營地,新竹縣,五峰鄉,24.609536,121.100504,65.5,預警撤離,217.40565393906465,823.06,12.09,20.1,北,16.8,27.3,621.2428007270203,蝥閫撖,0.0,擃,0.0,高,7388.188611583511,1020豪雨,違反相關法規露營場,不符合土地管制法規,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】新竹縣五峰鄉「左岸涼山營地」目前評估為「預警撤離」。主因：雨量偏高 217 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
35,田度550露營區,苗栗縣,泰安鄉,24.446845,120.918887,65.2,預警撤離,202.6501828030088,511.14,30.16,201.2,南,32.3,65.9,772.9190131646463,雿,120.10625455691232,銝,139.40808263525346,中,7986.83107419814,0728豪雨,違反相關法規露營場,區域計畫法,是,高,通知營主與遊客準備撤離，檢查車輛動線與備用避難點，雨勢增強即提前離場。,【露營安全預警】苗栗縣泰安鄉「田度550露營區」目前評估為「預警撤離」。主因：雨量偏高 203 mm/24h、DEM坡度 30°、鄰近崩塌/警戒範圍、法規狀態需注意。請營主立即通知遊客，確認人員、車輛與聯外道路狀況，必要時依地方政府指示提前撤離。
36,馬嘟溪露營基地,苗栗縣,泰安鄉,24.444765,120.917892,64.0,加強監測,183.6852613169855,387.76,17.9,271.3,西,0.0,34.9,668.0051733937518,雿,0.0,銝,0.0,中,8115.27820293969,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「馬嘟溪露營基地」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
37,阿麗露營區,苗栗縣,泰安鄉,24.42516,120.914173,63.9,加強監測,196.13674770342257,648.34,23.48,226.9,西南,10.9,48.2,1276.5713879613447,擃,0.0,銝,0.0,中,8262.308019707158,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「阿麗露營區」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
38,享露菲菲露營區,苗栗縣,泰安鄉,24.4229478100092,120.920130087723,63.6,加強監測,215.45118831615224,828.26,26.13,295.6,西北,0.0,51.0,1694.5209143805805,擃,85.78987071096644,銝,85.78987071096644,中,8075.8505506714355,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「享露菲菲露營區」目前為「加強監測」。主因：雨量偏高 215 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
39,日月山河露營區,苗栗縣,泰安鄉,24.40953,120.91155,63.3,加強監測,194.5297260229557,617.7,13.34,252.5,西,0.0,26.0,826.8019342440301,銝,0.0,銝,0.0,中,6520.958529556385,0728豪雨,違反相關法規露營場,區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「日月山河露營區」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
40,瑞里雲淡風輕露營區,嘉義縣,梅山鄉,23.5298293823257,120.66649915045,62.4,加強監測,216.9713048081363,1028.99,12.97,93.2,東,77.7,42.4,487.7489013445248,銝,402.6454078856797,擃,715.5293359225866,高,2095.993917505484,0728豪雨,違反相關法規露營場,違反區域計畫法,否,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】嘉義縣梅山鄉「瑞里雲淡風輕露營區」目前為「加強監測」。主因：雨量偏高 217 mm/24h、坡向 東，迎風暴露較高、距土石流影響範圍 488 m、鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
41,南灣蹓蹓,苗栗縣,泰安鄉,24.412225,120.912265,62.0,加強監測,193.13004750677348,644.59,16.74,268.0,西,0.0,32.6,897.6444798557054,銝,55.46909305970752,銝,55.46909305970752,中,6821.884477158905,0728豪雨,違反相關法規露營場,不符合土地管制法規,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】苗栗縣泰安鄉「南灣蹓蹓」目前為「加強監測」。主因：鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
42,小森林農園露營區,嘉義縣,阿里山鄉,23.4677085655313,120.708795023895,61.9,加強監測,231.28191180886495,1247.52,16.78,233.1,西南,5.7,34.0,779.1284087237788,雿,247.92911558298852,擃,313.6409866922013,高,1392.6270618825308,0728豪雨,違反相關法規露營場,違反區域計畫法,是,高,維持每 30–60 分鐘巡查邊坡、溪水與道路狀況，準備雨具、照明與通訊設備。,【露營安全提醒】嘉義縣阿里山鄉「小森林農園露營區」目前為「加強監測」。主因：雨量偏高 231 mm/24h、鄰近崩塌/警戒範圍、法規狀態需注意。請持續注意雨勢、溪水與邊坡狀況，先完成撤離路線與聯絡名冊確認。
